channel,subsystem,center,timestamp,feature,z,label
channel_61,subsystem_1,6961200,2006-08-19 15:09:00,std,10.175,0
channel_62,subsystem_1,6218160,2005-12-04 15:09:00,std,10.792,0
channel_63,subsystem_1,6209520,2005-12-01 15:09:00,std,10.676,0
channel_61,subsystem_1,6952560,2006-08-16 15:09:00,std,10.175,0
channel_62,subsystem_1,6226800,2005-12-07 15:09:00,std,10.79,0
channel_63,subsystem_1,6200880,2005-11-28 15:09:00,std,10.672,0
channel_61,subsystem_1,6969840,2006-08-22 15:09:00,std,10.173,0
channel_62,subsystem_1,6235440,2005-12-10 15:09:00,std,10.784,0
channel_63,subsystem_1,6192240,2005-11-25 15:09:00,std,10.666,0
channel_61,subsystem_1,6943920,2006-08-13 15:09:00,std,10.171,0
channel_62,subsystem_1,6244080,2005-12-13 15:09:00,std,10.775,0
channel_63,subsystem_1,6183600,2005-11-22 15:09:00,std,10.655,0
channel_61,subsystem_1,6978480,2006-08-25 15:09:00,std,10.167,0
channel_62,subsystem_1,6252720,2005-12-16 15:09:00,std,10.763,0
channel_63,subsystem_1,6174960,2005-11-19 15:09:00,std,10.642,0
channel_61,subsystem_1,6935280,2006-08-10 15:09:00,std,10.164,0
channel_62,subsystem_1,6261360,2005-12-19 15:09:00,std,10.747,0
channel_63,subsystem_1,6166320,2005-11-16 15:09:00,std,10.625,0
channel_61,subsystem_1,6987120,2006-08-28 15:09:00,std,10.157,0
channel_62,subsystem_1,6270000,2005-12-22 15:09:00,std,10.729,0
channel_63,subsystem_1,4680,2000-01-02 15:06:30,std,10.612,0
channel_61,subsystem_1,6926640,2006-08-07 15:09:00,std,10.154,0
channel_62,subsystem_1,6157680,2005-11-13 15:09:00,std,10.714,0
channel_63,subsystem_1,6278640,2005-12-25 15:09:00,std,10.589,0
channel_61,subsystem_1,6995760,2006-08-31 15:09:00,std,10.145,0
channel_62,subsystem_1,6149040,2005-11-10 15:09:00,std,10.69,0
channel_63,subsystem_1,13320,2000-01-05 15:06:30,std,10.576,0
channel_61,subsystem_1,6918000,2006-08-04 15:09:00,std,10.14,0
channel_62,subsystem_1,6287280,2005-12-28 15:09:00,std,10.679,0
channel_63,subsystem_1,6140400,2005-11-07 15:09:00,std,10.556,0
channel_61,subsystem_1,7004400,2006-09-03 15:09:00,std,10.13,0
channel_62,subsystem_1,3065880,2002-12-02 15:25:30,std,10.661,0
channel_63,subsystem_1,3074520,2002-12-05 15:25:30,std,10.543,0
channel_61,subsystem_1,6909360,2006-08-01 15:09:00,std,10.123,0
channel_62,subsystem_1,3057240,2002-11-29 15:25:30,std,10.658,0
channel_63,subsystem_1,3083160,2002-12-08 15:25:30,std,10.539,0
channel_61,subsystem_1,7013040,2006-09-06 15:09:00,std,10.111,0
channel_62,subsystem_1,3048600,2002-11-26 15:25:30,std,10.652,0
channel_63,subsystem_1,21960,2000-01-08 15:06:30,std,10.539,0
channel_61,subsystem_1,6900720,2006-07-29 15:09:00,std,10.101,0
channel_62,subsystem_1,3091800,2002-12-11 15:25:30,std,10.65,0
channel_63,subsystem_1,6295920,2005-12-31 15:09:00,std,10.535,0
channel_61,subsystem_1,7021680,2006-09-09 15:09:00,std,10.089,0
channel_62,subsystem_1,3039960,2002-11-23 15:25:30,std,10.643,0
channel_63,subsystem_1,6131760,2005-11-04 15:09:00,std,10.525,0
channel_61,subsystem_1,6892080,2006-07-26 15:09:00,std,10.076,0
channel_62,subsystem_1,3100440,2002-12-14 15:25:30,std,10.639,0
channel_63,subsystem_1,3031320,2002-11-20 15:25:30,std,10.514,0
channel_61,subsystem_1,7030320,2006-09-12 15:09:00,std,10.064,0
channel_70,subsystem_3,1007100,2000-12-15 16:30:00,std,501.445,1
channel_71,subsystem_3,6110580,2005-10-22 23:24:00,zcr,78.915,1
channel_72,subsystem_3,6039900,2005-09-28 10:23:30,zcr,30.622,1
channel_73,subsystem_3,489840,2000-06-19 02:00:00,std,1095.538,1
channel_74,subsystem_3,834720,2000-10-16 20:00:00,std,513.414,1
channel_75,subsystem_3,929700,2000-11-18 19:30:00,std,1396.008,1
channel_76,subsystem_3,919320,2000-11-15 05:00:00,std,1641.057,1
channel_70,subsystem_3,5966100,2005-09-02 19:24:30,zcr,17.284,1
channel_71,subsystem_3,5963220,2005-09-01 19:24:00,zcr,78.915,1
channel_72,subsystem_3,5520960,2005-04-01 05:53:30,zcr,30.622,1
channel_73,subsystem_3,683580,2000-08-25 08:30:00,std,1092.351,1
channel_74,subsystem_3,783120,2000-09-28 22:00:00,std,513.254,1
channel_75,subsystem_3,945540,2000-11-24 07:30:00,std,1359.114,1
channel_76,subsystem_3,1014600,2000-12-18 07:00:00,std,1636.486,1
channel_70,subsystem_3,230520,2000-03-21 01:00:00,zcr,17.284,1
channel_71,subsystem_3,227640,2000-03-20 01:00:00,zcr,78.915,1
channel_72,subsystem_3,4274160,2004-01-24 07:53:30,zcr,18.076,0
channel_73,subsystem_3,936960,2000-11-21 08:00:00,std,1066.163,1
channel_74,subsystem_3,506880,2000-06-25 00:00:00,std,502.677,1
channel_75,subsystem_3,731160,2000-09-10 21:00:00,std,1358.704,1
channel_76,subsystem_3,238680,2000-03-23 21:00:00,std,1295.818,1
channel_70,subsystem_3,1477860,2001-05-28 03:31:00,zcr,7.419,0
channel_71,subsystem_3,1487040,2001-05-31 07:59:00,zcr,27.991,0
channel_72,subsystem_3,1470240,2001-05-25 12:00:00,zcr,10.522,0
channel_73,subsystem_3,908340,2000-11-11 09:30:00,std,1039.139,1
channel_74,subsystem_3,429120,2000-05-29 00:00:00,std,501.596,1
channel_75,subsystem_3,973440,2000-12-04 00:00:00,std,1358.003,1
channel_76,subsystem_3,500220,2000-06-22 16:30:00,median,11.536,0
channel_70,subsystem_3,711660,2000-09-04 02:30:00,zcr,6.408,0
channel_71,subsystem_3,6559860,2006-03-27 23:24:00,zcr,18.548,0
channel_72,subsystem_3,7313760,2006-12-14 17:53:30,zcr,8.499,0
channel_73,subsystem_3,913140,2000-11-13 01:30:00,std,1038.415,1
channel_74,subsystem_3,437100,2000-05-31 18:30:00,std,501.406,1
channel_75,subsystem_3,161520,2000-02-26 02:00:00,std,1103.616,1
channel_76,subsystem_3,496500,2000-06-21 09:30:00,median,11.536,0
channel_70,subsystem_3,5186820,2004-12-06 05:24:30,std,5.83,1
channel_71,subsystem_3,5790420,2005-07-03 19:24:00,zcr,17.537,0
channel_72,subsystem_3,5384520,2005-02-12 20:53:30,zcr,8.094,0
channel_73,subsystem_3,5682300,2005-05-27 06:22:30,median,6.05,0
channel_74,subsystem_3,123240,2000-02-12 19:00:00,std,489.581,1
channel_75,subsystem_3,194460,2000-03-08 12:30:00,std,1102.695,1
channel_76,subsystem_3,4172340,2003-12-19 23:23:30,median,10.861,0
channel_70,subsystem_3,5192700,2004-12-08 06:24:30,std,5.73,1
channel_71,subsystem_3,2516100,2002-05-23 15:30:30,zcr,16.862,0
channel_72,subsystem_3,1564860,2001-06-27 08:30:00,zcr,7.959,0
channel_73,subsystem_3,4150500,2003-12-12 09:22:30,median,6.05,0
channel_74,subsystem_3,980940,2000-12-06 14:30:00,std,488.667,1
channel_75,subsystem_3,493620,2000-06-20 09:30:00,median,5.368,0
channel_76,subsystem_3,4191300,2003-12-26 13:23:30,median,10.187,0
channel_41,subsystem_5,332940,2000-04-25 14:30:00,std,209.768,1
channel_42,subsystem_5,2510340,2002-05-21 15:31:00,std,140.941,1
channel_43,subsystem_5,327300,2000-04-23 15:30:00,std,209.432,1
channel_44,subsystem_5,1327680,2001-04-06 00:00:00,std,125.579,1
channel_45,subsystem_5,5176080,2004-12-02 11:54:30,std,136.994,1
channel_46,subsystem_5,7301880,2006-12-10 14:54:30,std,88.733,1
channel_41,subsystem_5,4596060,2004-05-15 02:24:30,std,136.161,1
channel_42,subsystem_5,7083540,2006-09-25 19:24:30,std,88.37,1
channel_43,subsystem_5,1308720,2001-03-30 10:00:00,std,73.052,1
channel_44,subsystem_5,4203720,2003-12-30 20:54:30,std,108.707,1
channel_45,subsystem_5,7210020,2006-11-08 17:24:30,std,115.587,1
channel_46,subsystem_5,5178960,2004-12-03 11:54:30,median,63.66,1
channel_41,subsystem_5,6632640,2006-04-22 05:54:30,std,136.042,1
channel_42,subsystem_5,1331580,2001-04-07 08:30:00,median,41.318,1
channel_43,subsystem_5,5182200,2004-12-04 14:54:30,std,41.069,1
channel_44,subsystem_5,5310720,2005-01-18 05:54:30,std,25.743,1
channel_45,subsystem_5,1311960,2001-03-31 13:00:00,std,23.921,1
channel_46,subsystem_5,5307480,2005-01-17 02:54:30,std,26.563,1
channel_41,subsystem_5,1344840,2001-04-11 23:00:00,std,19.621,1
channel_42,subsystem_5,1340220,2001-04-10 08:30:00,median,10.456,1
channel_43,subsystem_5,1322940,2001-04-04 08:30:00,std,13.572,1
channel_44,subsystem_5,1335540,2001-04-08 17:30:00,median,10.622,1
channel_45,subsystem_5,4168020,2003-12-18 11:24:30,zcr,14.029,0
channel_46,subsystem_5,5189700,2004-12-07 05:24:30,median,13.272,1
channel_41,subsystem_5,4182600,2003-12-23 12:54:30,zcr,14.299,0
channel_42,subsystem_5,4186920,2003-12-25 00:54:30,zcr,9.25,0
channel_43,subsystem_5,4178220,2003-12-22 00:24:30,zcr,12.546,0
channel_44,subsystem_5,4154760,2003-12-13 20:54:30,zcr,8.961,0
channel_45,subsystem_5,3744240,2003-07-24 07:54:30,zcr,12.68,0
channel_46,subsystem_5,4137840,2003-12-07 23:54:30,zcr,8.287,0
channel_41,subsystem_5,5656380,2005-05-18 06:24:30,zcr,13.895,0
channel_42,subsystem_5,472680,2000-06-13 03:00:00,zcr,8.19,0
channel_43,subsystem_5,3737700,2003-07-22 01:24:30,zcr,12.276,0
channel_44,subsystem_5,5677980,2005-05-25 18:24:30,zcr,8.768,0
channel_45,subsystem_5,3733980,2003-07-20 18:24:30,zcr,11.871,0
channel_46,subsystem_5,5694660,2005-05-31 13:24:30,zcr,7.901,0
channel_41,subsystem_5,5691000,2005-05-30 06:54:30,zcr,11.871,0
channel_42,subsystem_5,6579360,2006-04-03 17:54:30,zcr,7.998,0
channel_43,subsystem_5,5662320,2005-05-20 07:54:30,zcr,11.871,0
channel_44,subsystem_5,2360520,2002-03-30 15:01:00,zcr,8.576,0
channel_45,subsystem_5,3722520,2003-07-16 18:54:30,zcr,11.871,0
channel_46,subsystem_5,3711780,2003-07-13 01:24:30,zcr,7.901,0
channel_41,subsystem_5,5647680,2005-05-15 05:54:30,zcr,11.601,0
channel_42,subsystem_5,5671740,2005-05-23 14:24:30,zcr,7.805,0
channel_43,subsystem_5,503100,2000-06-23 16:30:00,zcr,11.871,0
channel_44,subsystem_5,2388120,2002-04-09 05:01:00,zcr,8.479,0
channel_45,subsystem_5,6598800,2006-04-10 11:54:30,zcr,11.197,0
channel_46,subsystem_5,4133520,2003-12-06 11:54:30,zcr,7.805,0
channel_41,subsystem_5,5794680,2005-07-05 06:54:30,zcr,11.466,0
channel_12,subsystem_6,2676000,2002-07-18 04:03:00,std,12.011,1
channel_13,subsystem_6,4271160,2004-01-23 06:57:30,zcr,9.038,0
channel_14,subsystem_6,6649980,2006-04-28 06:27:30,std,20.794,1
channel_15,subsystem_6,1691100,2001-08-10 04:33:00,std,40.295,1
channel_16,subsystem_6,1144980,2001-02-01 13:30:00,zcr,5.733,1
channel_17,subsystem_6,5314500,2005-01-19 13:27:30,zcr,7.689,1
channel_18,subsystem_6,4772880,2004-07-15 11:57:30,zcr,4.317,0
channel_19,subsystem_6,2935440,2002-10-16 11:57:30,std,8.453,0
channel_20,subsystem_6,2673120,2002-07-17 04:03:00,std,5.593,1
channel_21,subsystem_6,5500740,2005-03-25 05:27:30,std,20.993,1
channel_22,subsystem_6,2235180,2002-02-15 02:33:00,std,12.399,1
channel_23,subsystem_6,3320340,2003-02-27 03:27:30,std,21.79,1
channel_24,subsystem_6,185580,2000-03-05 10:30:00,std,4.804,0
channel_25,subsystem_6,4207500,2004-01-01 04:27:30,std,4.786,1
channel_26,subsystem_6,5770260,2005-06-26 19:27:30,std,5.512,0
channel_27,subsystem_6,826500,2000-10-13 23:30:00,zcr,4.721,1
channel_28,subsystem_6,1710540,2001-08-16 22:33:00,zcr,6.07,0
channel_29,subsystem_6,1997940,2001-11-24 17:33:00,std,20.094,1
channel_30,subsystem_6,3575400,2003-05-26 16:57:30,std,4.665,0
channel_31,subsystem_6,7261380,2006-11-26 13:27:30,std,11.09,1
channel_32,subsystem_6,6900000,2006-07-24 01:57:30,std,5.217,0
channel_33,subsystem_6,4926300,2004-09-06 18:27:30,std,5.281,0
channel_34,subsystem_6,853860,2000-10-23 11:30:00,std,5.942,0
channel_35,subsystem_6,4277400,2004-01-25 10:57:30,zcr,4.497,0
channel_36,subsystem_6,569040,2000-07-16 14:00:00,zcr,4.856,0
channel_37,subsystem_6,3215880,2003-01-21 20:57:30,std,4.945,0
channel_38,subsystem_6,2835480,2002-09-11 13:03:00,std,4.531,0
channel_39,subsystem_6,4952520,2004-09-15 20:57:30,std,11.754,1
channel_40,subsystem_6,4735440,2004-07-02 11:57:30,std,5.224,0
channel_47,subsystem_6,5993460,2005-09-12 07:24:30,zcr,4.047,0
channel_49,subsystem_6,6929100,2006-08-03 04:24:30,std,4.166,0
channel_50,subsystem_6,1298340,2001-03-26 19:30:30,zcr,13.153,0
channel_51,subsystem_6,4660020,2004-06-06 07:28:00,std,5.175,0
channel_52,subsystem_6,5901060,2005-08-11 05:28:00,std,5.61,0
channel_57,subsystem_6,5092980,2004-11-03 15:24:30,std,41.164,1
channel_58,subsystem_6,1033740,2000-12-24 22:30:00,std,15.093,1
channel_59,subsystem_6,2875740,2002-09-25 12:31:00,std,82.303,1
channel_60,subsystem_6,2869860,2002-09-23 11:31:00,std,12.932,1
channel_64,subsystem_6,2602800,2002-06-23 14:54:30,std,91.978,1
channel_65,subsystem_6,5359320,2005-02-04 23:50:30,zcr,12.704,0
channel_66,subsystem_6,5453700,2005-03-09 18:20:30,zcr,22.595,0
channel_12,subsystem_6,6752160,2006-06-02 17:57:30,std,5.469,0
channel_13,subsystem_6,3451320,2003-04-13 14:57:30,std,5.764,0
channel_14,subsystem_6,165420,2000-02-27 10:30:00,std,18.224,1
channel_15,subsystem_6,3942480,2003-10-01 03:57:30,std,25.999,1
channel_16,subsystem_6,5807640,2005-07-09 18:57:30,std,5.388,0
channel_17,subsystem_6,9600,2000-01-04 08:00:00,std,4.301,0
channel_18,subsystem_6,6658980,2006-05-01 09:27:30,zcr,4.182,0
channel_19,subsystem_6,2952780,2002-10-22 12:27:30,zcr,4.991,0
